ID,Driving Distance (meters),Walking Distance (meters),Time to Find Parking (minutes),Parking Space Size (0-10),Parking Difficulty,Near Elevator,Has Surveillance,Parking Fee (CNY/hour),Parking Type,Longitude,Latitude
49,1877,743,14,4,困难,是,否,18.28,交通枢纽,119.567074,26.194227
50,152,205,2,8,容易,否,否,3.97,其他,119.394053,25.983681
51,1119,468,6,7,中等,是,是,13.0,商场,119.565006,25.469852
52,1881,645,14,5,困难,否,是,19.63,交通枢纽,119.32079,26.114561
53,940,257,14,6,中等,是,是,11.1,商场,119.30988,26.052534
54,787,436,9,6,困难,否,是,14.68,商场,119.35429,26.099228
55,1160,446,7,7,中等,是,是,11.96,商场,119.30013,26.081655
56,269,78,3,8,容易,否,是,4.56,其他,119.394053,25.983681
57,267,48,4,8,容易,否,是,5.32,其他,119.319205,26.045601
58,295,109,2,9,容易,否,否,4.87,其他,119.759652,25.439035
59,1568,624,13,6,困难,否,是,19.44,交通枢纽,119.673834,25.930064
60,1651,963,11,6,困难,否,是,16.43,交通枢纽,119.557067,25.855802
61,150,277,3,8,容易,否,是,7.81,其他,119.669483,25.915188
62,696,211,6,6,困难,否,是,8.66,商场,119.398792,26.017611
63,904,617,7,6,中等,否,是,11.47,商场,118.936027,25.863703
64,266,286,1,8,容易,否,否,5.74,其他,119.345069,26.087976
65,1038,298,8,7,困难,否,否,9.75,商场,119.26108,26.091513
66,836,668,16,4,困难,是,是,17.4,交通枢纽,119.672076,25.927982
67,111,93,4,8,容易,否,是,4.6,其他,119.319867,26.115657
68,695,644,13,6,困难,是,否,8.64,商场,119.546894,26.209085
69,863,705,9,6,困难,是,是,10.05,商场,119.32684,26.070231
70,102,160,4,8,容易,否,否,3.57,其他,119.389051,25.982646
71,1197,522,19,4,困难,否,是,17.37,交通枢纽,119.673334,25.930271
72,288,85,1,9,容易,否,否,7.18,其他,119.295417,26.079817
73,223,150,4,9,容易,否,是,4.98,其他,119.286566,26.0158
74,828,464,15,6,困难,否,否,15.81,交通枢纽,119.392466,25.987763
75,956,710,11,6,中等,是,否,12.14,商场,119.500372,25.955997
76,231,176,3,9,容易,是,是,7.53,其他,119.807744,25.49812
77,190,251,4,9,容易,是,是,3.28,其他,119.759652,25.439035
78,660,200,7,6,中等,是,是,9.66,商场,119.30988,26.052534
79,361,126,2,9,容易,否,是,3.06,其他,119.394053,25.983681
80,1972,379,15,4,困难,是,是,19.93,交通枢纽,119.675037,25.934263
81,831,640,6,6,中等,否,是,12.41,商场,119.310138,26.076875
82,865,458,11,6,困难,否,是,14.41,商场,119.357373,26.047767
83,707,572,12,7,困难,是,是,9.32,商场,119.384726,25.719127
84,77,229,1,8,容易,否,是,4.3,其他,119.391784,25.989456
85,250,221,1,9,容易,是,是,4.35,其他,119.669483,25.915188
86,131,265,1,8,容易,是,否,7.6,其他,119.28019,26.040968
87,300,14,3,9,容易,否,否,4.88,其他,118.588278,25.804954
88,226,276,1,9,容易,否,否,4.9,其他,119.295417,26.079817
89,760,304,7,6,中等,是,否,9.91,商场,119.398792,26.017611
90,1508,944,15,6,困难,否,否,15.55,交通枢纽,119.319472,26.11281
91,132,154,1,9,容易,是,是,4.03,其他,119.277573,26.071108
92,1248,787,11,6,困难,否,是,11.14,交通枢纽,119.557067,25.855802
93,167,268,3,9,容易,否,否,7.26,其他,119.345069,26.087976
94,271,260,1,8,容易,是,否,3.67,其他,119.295417,26.079817
95,390,75,3,8,容易,否,否,7.52,其他,119.67545,25.931747
96,355,107,2,9,容易,是,否,5.77,其他,119.870047,25.549897
97,548,365,5,7,中等,是,是,14.37,商场,119.49406,25.94259
98,432,337,12,6,困难,是,是,11.44,商场,119.285774,26.085458
99,1073,252,6,6,中等,否,是,9.46,商场,119.545377,26.20916
100,1560,962,16,6,困难,否,是,14.0,交通枢纽,119.390009,25.986015
101,233,290,3,9,容易,否,是,5.37,其他,119.319205,26.045601
102,933,250,7,6,中等,是,是,9.18,商场,119.594291,26.469527
103,1637,812,14,4,困难,否,是,13.56,交通枢纽,119.675037,25.934263
104,267,82,2,8,容易,否,否,5.41,其他,119.807744,25.49812
105,406,247,5,7,困难,是,是,14.08,商场,119.188009,26.080173
106,256,136,4,9,容易,否,否,4.18,其他,119.67545,25.931747
107,203,23,3,9,容易,否,否,3.67,其他,119.394053,25.983681
108,288,283,2,9,容易,是,是,5.66,其他,119.394053,25.983681
109,77,211,3,8,容易,是,否,7.2,其他,119.67545,25.931747
110,1336,444,13,4,困难,否,是,16.79,交通枢纽,119.392466,25.987763
111,160,237,3,9,容易,否,是,5.93,其他,119.759652,25.439035
112,894,753,13,6,困难,否,是,10.54,商场,119.30988,26.052534
113,364,238,1,8,容易,是,是,3.04,其他,119.759652,25.439035
114,923,715,12,6,中等,是,是,13.9,商场,119.188009,26.080173
115,85,232,2,9,容易,否,是,5.88,其他,119.277573,26.071108
116,417,703,10,6,困难,否,是,13.75,商场,118.936027,25.863703
117,734,372,9,7,困难,否,是,14.78,商场,119.594291,26.469527
118,412,339,5,7,中等,是,是,13.37,商场,119.545377,26.20916
119,1167,458,5,7,困难,是,是,10.36,商场,119.3988,26.017593
120,1197,212,12,7,中等,是,是,8.62,商场,119.299381,26.084553
121,849,618,5,6,困难,否,是,13.81,商场,119.312931,26.037188
122,758,336,6,7,困难,否,否,10.65,商场,119.550214,26.211718
123,1672,528,12,4,困难,是,是,11.86,交通枢纽,119.31958,26.112768
124,873,331,13,6,困难,否,是,12.12,商场,119.312931,26.037188
125,1599,990,15,4,困难,否,是,17.48,交通枢纽,119.390009,25.986015
126,274,113,4,8,容易,否,是,5.71,其他,119.28019,26.040968
127,478,753,8,6,中等,是,否,14.15,商场,119.794244,25.485976
128,719,356,10,6,困难,是,否,10.18,商场,119.546894,26.209085
129,495,797,6,7,中等,否,是,11.46,商场,119.286002,26.046097
130,1982,527,17,6,困难,是,是,17.97,交通枢纽,119.32079,26.114561
131,381,182,2,8,容易,否,否,6.21,其他,119.389051,25.982646
132,1110,482,9,7,困难,否,是,9.27,商场,119.321032,26.04261
133,322,545,14,6,困难,是,是,8.97,商场,119.310138,26.076875
134,1127,659,8,7,困难,否,否,12.88,商场,119.500372,25.955997
135,141,296,2,8,容易,否,否,5.12,其他,119.807744,25.49812
136,1578,706,10,5,困难,是,是,12.36,交通枢纽,119.391489,25.985828
137,362,10,3,9,容易,否,是,5.59,其他,119.297067,26.079008
138,358,146,2,9,容易,否,是,6.94,其他,118.588278,25.804954
139,543,736,14,6,中等,是,是,14.46,商场,119.30013,26.081655
140,66,137,3,8,容易,是,是,5.26,其他,119.295417,26.079817
141,1509,800,17,4,困难,否,是,13.62,交通枢纽,119.576893,26.455769
142,205,58,3,8,容易,是,是,7.81,其他,119.389051,25.982646
143,775,262,12,6,中等,是,是,10.1,商场,119.49406,25.94259
144,1190,517,5,6,中等,否,是,10.64,商场,119.794244,25.485976
145,889,570,6,7,中等,是,是,11.74,商场,119.311422,26.05131
146,368,141,1,9,容易,否,是,7.31,其他,119.384907,25.674256
147,757,361,5,6,困难,否,否,14.85,商场,119.366902,25.991698
148,370,256,3,9,容易,否,否,3.98,其他,119.669483,25.915188
149,1560,538,14,6,困难,否,是,18.87,交通枢纽,119.391489,25.985828
150,340,105,4,9,容易,否,否,6.02,其他,119.322644,26.114064
151,799,364,10,6,困难,是,是,10.84,商场,119.285774,26.085458
152,312,170,3,8,容易,是,否,3.13,其他,119.394053,25.983681
153,1499,381,11,4,困难,否,是,18.17,交通枢纽,118.876949,26.287082
154,685,670,11,7,中等,是,否,13.81,商场,119.545377,26.20916
155,275,62,4,8,容易,否,是,7.74,其他,119.389051,25.982646
156,251,167,4,8,容易,否,是,7.47,其他,119.319867,26.115657
157,164,218,2,8,容易,否,是,5.71,其他,119.277573,26.071108
158,1293,303,19,5,困难,否,是,19.01,交通枢纽,119.393421,25.985597
159,1137,345,9,7,中等,是,是,12.04,商场,119.352738,26.069903
160,677,787,11,6,困难,是,否,8.08,商场,119.321032,26.04261
161,1030,367,6,7,中等,是,是,12.43,商场,118.936027,25.863703
162,775,757,6,7,中等,是,是,14.71,商场,119.35429,26.099228
163,1093,228,9,6,中等,是,否,10.02,商场,119.540124,26.196733
164,1043,426,10,7,困难,否,是,10.78,商场,119.794244,25.485976
165,338,259,4,8,容易,否,是,4.31,其他,118.588278,25.804954
166,250,163,2,8,容易,否,是,4.72,其他,119.28019,26.040968
167,360,241,13,6,中等,是,是,8.53,商场,119.366902,25.991698
168,151,21,3,8,容易,否,是,3.46,其他,119.345069,26.087976
169,629,768,11,6,困难,否,否,9.3,商场,119.545377,26.20916
170,1460,380,16,4,困难,否,是,16.92,交通枢纽,118.933612,25.848459
171,388,467,14,6,中等,是,否,14.61,商场,119.49406,25.94259
172,1200,385,19,6,困难,否,是,10.34,交通枢纽,119.391213,25.986535
173,225,224,1,9,容易,是,是,6.73,其他,119.384907,25.674256
174,742,689,11,6,中等,是,是,12.55,商场,119.550214,26.211718
175,397,330,9,6,中等,否,是,10.38,商场,119.285774,26.085458
176,53,219,1,9,容易,否,是,5.13,其他,119.286566,26.0158
177,276,179,2,9,容易,是,是,3.0,其他,119.319205,26.045601
178,145,236,3,8,容易,是,是,3.05,其他,119.277573,26.071108
179,617,444,13,7,中等,否,否,14.12,商场,119.357373,26.047767
180,389,74,2,8,容易,否,是,3.55,其他,119.319205,26.045601
181,623,345,9,6,中等,否,是,9.94,商场,119.540124,26.196733
182,354,149,3,9,容易,是,否,6.99,其他,119.759652,25.439035
183,1106,639,12,6,困难,否,否,14.33,商场,119.30988,26.052534
184,108,81,4,8,容易,否,否,6.25,其他,119.319205,26.045601
185,379,116,2,8,容易,是,否,4.1,其他,119.870047,25.549897
186,311,14,1,9,容易,否,否,7.85,其他,119.394053,25.983681
187,1189,772,14,6,困难,否,是,13.31,商场,119.366902,25.991698
188,1580,419,18,4,困难,否,是,18.95,交通枢纽,119.557067,25.855802
189,372,132,4,8,容易,否,否,7.44,其他,119.669483,25.915188
190,1320,762,17,4,困难,是,是,15.51,交通枢纽,119.67188,25.927974
191,337,527,9,7,中等,是,是,11.47,商场,119.352738,26.069903
192,333,90,2,9,容易,否,否,7.41,其他,119.870047,25.549897
193,622,767,12,7,困难,否,否,11.81,商场,119.49406,25.94259
194,446,535,12,7,中等,否,否,13.95,商场,119.295424,26.113404
195,94,190,2,9,容易,否,是,6.09,其他,119.345069,26.087976
196,1046,756,14,6,中等,否,是,8.2,商场,119.398792,26.017611
197,736,750,6,7,困难,否,是,11.89,商场,119.285774,26.085458
198,273,22,2,8,容易,否,是,7.91,其他,119.807744,25.49812
199,237,172,4,9,容易,是,是,4.42,其他,119.277573,26.071108
200,1130,611,9,6,困难,是,否,13.52,商场,119.299824,26.082495
